SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
2, 0.3298, 33, -0.9210, 0.3551, -0.1053, 3.4422, 5.3184, 26.1709, -39.1045, 42.8358, 15.6667, -71.1234, -67.7811, 82.2091, -0.7220, -0.0656, -0.6592, 0.1996, 0.0048, -0.0027, 0.0170, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3398, 34, -0.9270, 0.3610, -0.1054, 3.1011, 4.4625, 26.2754, -36.2687, 42.0896, 16.1667, -71.2043, -67.5193, 82.3395, -0.7218, -0.0669, -0.6587, 0.2015, -0.0030, -0.0010, 0.0178, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.2600, 26, 0.0116, 0.9628, 0.3550, -0.6660, -11.9581, 1.0319, 57.1642, 39.1045, -10.0000, -109.8278, 2.0178, 81.3414, 0.4265, 0.6271, 0.5255, -0.3855, -0.0236, 0.0227, 0.0161, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.2700, 27, 0.0253, 0.9530, 0.3652, 1.0614, -14.8300, -1.5114, 57.0149, 39.1045, -9.6667, -109.8275, 2.0458, 81.4875, 0.4259, 0.6266, 0.5262, -0.3862, -0.0104, 0.0129, 0.0263, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.2800, 28, 0.0371, 0.9648, 0.3635, 1.9454, -15.4711, -0.7347, 57.4627, 38.6567, -9.8333, -109.8145, 2.0852, 81.6476, 0.4252, 0.6259, 0.5269, -0.3870, 0.0007, 0.0246, 0.0247, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.2900, 29, 0.0527, 0.9491, 0.3696, 1.7376, -14.0488, -1.0769, 53.8806, 38.6567, -9.8333, -109.8029, 2.1283, 81.7995, 0.4246, 0.6253, 0.5275, -0.3879, 0.0156, 0.0089, 0.0311, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3000, 30, 0.0410, 0.9589, 0.3635, 1.5104, -10.8561, -0.9823, 54.6269, 38.9552, -9.8333, -109.7917, 2.1609, 81.9220, 0.4241, 0.6248, 0.5280, -0.3886, 0.0033, 0.0187, 0.0251, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.3499, 35, -0.9269, 0.3590, -0.1094, 3.8189, 4.0351, 25.6674, -40.4478, 43.7313, 15.8333, -71.2862, -67.2680, 82.4720, -0.7216, -0.0682, -0.6583, 0.2033, -0.0046, -0.0070, 0.0146, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3599, 36, -0.9290, 0.3629, -0.0975, 3.0103, 3.4699, 24.2236, -35.0746, 42.9851, 15.8333, -71.3743, -67.0279, 82.6147, -0.7213, -0.0693, -0.6579, 0.2051, -0.0083, -0.0070, 0.0272, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3699, 37, -0.9310, 0.3648, -0.0995, 3.8558, 3.3262, 24.1164, -37.7612, 44.6269, 15.5000, -71.4564, -66.7967, 82.7557, -0.7210, -0.0704, -0.6576, 0.2068, -0.0119, -0.0087, 0.0258, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.3101, 31, 0.0391, 0.9512, 0.3512, 1.5620, -9.4403, -0.5479, 57.9104, 37.9104, -10.1667, -109.7802, 2.1840, 82.0235, 0.4237, 0.6244, 0.5284, -0.3891, 0.0010, 0.0109, 0.0131, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3201, 32, 0.0293, 0.9550, 0.3572, 3.2555, -9.5153, 0.9442, 56.7164, 38.9552, -10.3333, -109.7625, 2.2091, 82.1206, 0.4233, 0.6239, 0.5288, -0.3897, -0.0093, 0.0146, 0.0193, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.3799, 38, -0.9389, 0.3648, -0.0977, 4.7795, 2.6831, 23.9308, -35.6716, 43.7313, 15.1667, -71.5579, -66.5740, 82.9243, -0.7207, -0.0714, -0.6573, 0.2086, -0.0214, -0.0123, 0.0281, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3899, 39, -0.9389, 0.3668, -0.1076, 6.5229, 0.4737, 22.2067, -34.1791, 43.5821, 15.5000, -71.6564, -66.3641, 83.1029, -0.7203, -0.0723, -0.6570, 0.2103, -0.0228, -0.0137, 0.0186, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.3999, 40, -0.9329, 0.3609, -0.0976, 7.7768, 0.3987, 22.7467, -37.9104, 43.5821, 16.0000, -71.7505, -66.1599, 83.2968, -0.7199, -0.0730, -0.6568, 0.2122, -0.0183, -0.0230, 0.0290, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.4099, 41, -0.9429, 0.3687, -0.0997, 8.9302, -0.6705, 21.7928, -34.6269, 42.8358, 15.3333, -71.8505, -65.9647, 83.5091, -0.7194, -0.0736, -0.6566, 0.2141, -0.0296, -0.0183, 0.0271, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.3301, 33, 0.0293, 0.9572, 0.3370, 3.3088, -7.8850, 1.2395, 57.4627, 38.3582, -10.0000, -109.7305, 2.2449, 82.1966, 0.4231, 0.6236, 0.5290, -0.3903, -0.0098, 0.0166, -0.0004, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3401, 34, 0.0372, 0.9553, 0.3290, 4.0570, -8.3836, 1.8754, 55.3731, 39.8507, -10.5000, -109.6877, 2.2791, 82.2657, 0.4229, 0.6232, 0.5291, -0.3909, -0.0025, 0.0145, -0.0077, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3499, 35, 0.0470, 0.9572, 0.3392, 3.7979, -8.6618, 1.1669, 57.0149, 38.5075, -10.0000, -109.6444, 2.3227, 82.3398, 0.4227, 0.6228, 0.5292, -0.3916, 0.0065, 0.0162, 0.0033, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3599, 36, 0.0372, 0.9475, 0.3289, 3.7169, -6.1049, 1.0463, 56.8657, 37.6119, -10.5000, -109.5958, 2.3552, 82.3976, 0.4226, 0.6225, 0.5292, -0.3923, -0.0039, 0.0062, -0.0062, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3799, 37, 0.0372, 0.9455, 0.3390, 3.2008, -2.7783, 1.7027, 55.8209, 39.1045, -10.5000, -109.5128, 2.3977, 82.4609, 0.4226, 0.6220, 0.5291, -0.3931, -0.0047, 0.0037, 0.0053, 1005.4100, 0.0000, 0.0000, 0.0000
2, 0.4199, 42, -0.9231, 0.3608, -0.0795, 12.0412, -1.7440, 21.2009, -36.2687, 45.2239, 15.0000, -71.9469, -65.7829, 83.7364, -0.7190, -0.0740, -0.6565, 0.2160, -0.0111, -0.0292, 0.0476, 1003.5700, 0.0000, 0.0000, 0.0000
2, 0.4299, 43, -0.9310, 0.3688, -0.0975, 12.8966, -2.6012, 21.0770, -34.3284, 42.9851, 15.1667, -72.0361, -65.6042, 83.9729, -0.7184, -0.0743, -0.6563, 0.2180, -0.0203, -0.0241, 0.0299, 1003.5700, 0.0000, 0.0000, 0.0000
1, 0.3899, 38, 0.0156, 0.9572, 0.3307, 3.4729, -1.8526, 1.6422, 54.1791, 39.8507, -10.6667, -109.4657, 2.3831, 82.4664, 0.4229, 0.6218, 0.5290, -0.3933, -0.0259, 0.0152, -0.0022, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.3999, 39, 0.0078, 0.9436, 0.3224, 3.2644, -1.8548, 1.7108, 55.3731, 39.4030, -11.0000, -109.4228, 2.3587, 82.4810, 0.4232, 0.6215, 0.5290, -0.3934, -0.0333, 0.0013, -0.0099, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.4099, 40, 0.0019, 0.9551, 0.3386, 2.7236, -3.4908, 1.6225, 54.3284, 40.0000, -10.3333, -109.3854, 2.3433, 82.5126, 0.4234, 0.6212, 0.5291, -0.3936, -0.0390, 0.0126, 0.0070, 1005.4100, 0.0000, 0.0000, 0.0000
1, 0.4199, 41, 0.0059, 0.9691, 0.3125, 2.1786, -4.4169, 1.5399, 58.2090, 38.8060, -10.6667, -109.3421, 2.3394, 82.5367, 0.4236, 0.6209, 0.5291, -0.3939, -0.0349, 0.0263, -0.0184, 1005.4100, 0.0000, 0.0000, 0.0000
